,0,1,2,3,4
353,of reservation,reservation,dalits tribals,reservation in,
354,,,,,
355,,,,,
356,india inflation,inflation records,inflation,,
357,tweets trends,twitterindia functions,how twitterindia,80 tweets,twitterindia
358,campaigning gobackmodi,unfortunately narendramodi,,,
359,guntur vijayawada,vijayawada please,vijayawada,,
360,robber vada,,,,
361,nirbhaya rapists,rapist who,rapist,rapists asifa,rape accused
362,modi gobackmodi,hates modi,tn hates,gobackmodi,modi
363,modi hate,misskaul modi,twitterindia defiance,,
364,housing technology,global housing,build houses,,
365,bjp bhagao,,,,
366,operation muskaan,muskaan ii,missing children,muskaan,children missing
367,muzaffarnagar riots,the muzaffarnagar,muzaffarnagar,riots,riots of
368,congress whitaker,whitaker must,whitaker,,
369,crores toilets,,,,
370,daca students,our daca,daca,,
371,,,,,
372,,,,,
373,nws birthday,happybirthday nws,,,
374,anti hindu,the_hindu,paper the_hindu,ramesh_bjp biharkalal,hindu paper
375,judges pakdagayamodi,,,,
376,fugitives brought,fugitives hiding,of fugitives,fugitives,
377,modi violated,,,,
378,hindu hater,modi hindu,twitter india,,
379,nda stuff,nda,non nda,,
380,bjp4india narendramodi,rssorg bjp4india,bjp4india,present bjp,bjp govt
381,shameful inckliqchat,inckliqchat,,,
382,dmk opposed,dmkfails students,,,
383,protests await,andhrapradesh ndtv,andhrapradesh,in andhrapradesh,
384,peacefuls are,the peacefuls,,,
385,,,,,
386,tnwelcomesmodi lalu,,,,
387,his speeches,speeches,speeches never,,
388,jalpaiguri didi,didi,didi wants,modi,modi in
389,,,,,
390,delhi deeksha,on delhi,,,
391,annapurna studios,next manmadhudu,manmadhudu tentative,manmadhudu,rahul ravindran
392,twitter pls,,,,
393,crops rispc,protecting crops,rispc for,plantation crops,rispc
394,theories gobackmodi,modi govt,baseless pseudo,,
395,,,,,
396,delhi cm,is delhi,,,
397,safety railways,railway safety,railways has,on railway,railways
398,against gandhi,,,,
399,,,,,
400,insulted meenakshi,tnwelcomesmodi stalin,stalin insulted,,
401,housing technology,global housing,build houses,,
402,congress tnwelcomesmodi,tnwelcomesmodi is,,,
403,chennai petroleum,manali refinery,chennai port,to chennai,
404,prime ministers,,,,
405,realitywinnerâ mother,,,,
406,tirupur people,,,,
407,priyanka elect,re elect,modi,,
408,modiji kickstarted,modiji,tnwelcomesmodi dmkfails,,
409,chambers and,,,,
410,accidental insurance,insurance,insurance for,,
411,modi govt,cancelled jhankis,,,
412,rafale lies,presidents rafale,,,
413,crore rafale,rafale deal,,,
414,,,,,
415,fairfax accusers,kavanaugh who,kavanaugh,,
416,talk went,,,,
417,bjp goons,arvindkejriwal car,,,
418,chanting azadi,,,,
419,bharatbacksmodi agartala,,,,
420,to arunachal,arunachal,,,
421,gadkari as,about gadkari,gadkari,,
422,,,,,
423,,,,,
424,modi ji,,,,
425,bordercrisis fundthewall,,,,
426,politics cbn,brought cbn,cbn brought,cbn son,cbn is
427,bjp admk,dmk tnpolitics,tnpolitics tamilnadu,constituencies mkstalin,tamilnadu
428,karnataka greed,bjp offers,crores to,speaker bjp,of crores
429,mocking bjp,bjp,threatening babus,bjp with,
430,whitaker testimony,whitaker,the whitaker,,
431,pm rahul,rahul rafale,rahul koi,nahi hai,die rahul
432,andhra who,rejected cong,,,
433,congress protest,modi visit,modi go,visit modi,back slogan
434,,,,,
435,back modi,modi,minister india,,
436,saraswati pujos,bengal bengalsaraswatipujo,bengalis to,bengal,bengalis
437,hindi haters,modi handshaking,tickle hindi,hindi,
438,ravi pujari,pujari arrested,,,
439,,,,,
440,twitter khatarnak,khatarnak combo,,,
441,congress jammu,youth congress,assembly constituency,,
442,karnataka,,,,
443,scam rahul,scam tejashwi,scam vadra,statues scam,scam mamata
444,bjp are,bigger hindu,,,
445,blackflag protests,,,,
446,didibhaimodibhai saradha,mamata banerjee,didibhaimodibhai,banerjee and,bjp and
447,praises pakistan,pm khan,kashmir cm,pakistan pm,khan
448,russiagate propagandists,,,,
449,,,,,
450,,,,,
451,,,,,
452,microsoft spent,microsoft went,congress microsoft,microsoft,
453,kumbh ritual,ritual yogi,mughal tyranny,govt mughal,
454,indian negotiating,,,,
455,modi ji,,,,
456,humpback whales,whales,whales are,,
457,breaking bjp,ujjain brutally,bjp,,
458,,,,,
459,republic debate,have debates,twitterinsultsindia republic,,
460,cag sharma,sharma was,,,
461,art ngma,,,,
462,phobia bjp,bjp stings,rafale phobia,gandhi,rahul gandhi
463,modi story,brother modi,modi,modi is,
464,,,,,
465,bjp4india when,bjp4india,will bjp,incindia bjp4india,bjp
466,satyajit biswas,satyajit was,mla satyajit,community satyajit,satyajit
467,,,,,
468,bjp should,shiv sena,to bjp,bjp,
469,pelosi should,pelosi,,,
470,nra executive,the nra,breaking congress,nra,
471,attacked cbi,cbi fled,bjp spos,sukma attacked,rapes cbi
472,syed modiâ,syed modi,modi syed,modiâ wife,
473,narendera modi,chaiwala,yeh chaiwala,chaiwala and,modi as
474,maga_forever this,,,,
475,narendra modi,chandrababu naidu,,,
476,girlfriend modi,crore girlfriend,sonia,sonia gandhi,against sonia
477,fake videos,sardesairajdeep indiatoday,,,
478,village electrification,electrification numbers,,,
479,twitter,to twitter,indeed twitter,,
480,gas price,,,,
481,opposition alliance,defeat modi,opposition parties,,
482,rahul interference,backfires rahulremotecharge,slams rahul,interference backfires,rahul
483,orangutans are,of orangutans,orangutans,to bjp,
484,rahul gandhiâ,,,,
485,discredited economist,economist to,,,
486,,,,,
487,congress scams,scams of,gvlnrao bjp4india,,
488,ap bjp,bjp,bjp is,of bjp,bjp has
489,periyarists attacking,is beemji,beemji having,,
490,tamilisai when,tamilisai,with tamilisai,,
491,gdp improved,fiscal deficit,,,
492,venezuela guaido,guaido,guaido is,invading venezuela,
493,cannot fool,fool all,can fool,,
494,mr modi,prime minister,modi is,modi,political minister
495,,,,,
496,bjp and,mention bjp,muslim league,bjp,
497,modiâ twitter,,,,
498,joinied bjp,,,,
499,kerala bjp,tn bjp,bjp out,bjp it,bjp
500,feminism is,,,,
501,alliance what,alliance,,,
502,bjp mp,,,,
503,bjp modi,demonetisation gst,what bjp,bjp,
504,1974 nixon,nixon was,nixon,,
505,,,,,
506,,,,,
507,blaming bjp,satyajit biswas,,,
508,blames bjp,,,,
509,angry protesting,modi modidestroysnortheast,protesting,protesting against,
510,majbootâ govt,bjp4gujarat bjp4india,bjp4gujarat,bjp4india,majboor
511,india modi,modi arrived,in guwahati,guwahati,
512,,,,,
513,modi who,ant died,ant death,modi is,
514,,,,,
515,bjp out,bjp it,threw bjp,bjp,bjp is
516,seen rupee,rs15 lakhs,,,
517,modi tamil,nadu welcomes,tamil,tnwelcomesmodi,you tnwelcomesmodi
518,trapped bjp,how sharanagouda,bjp bigwig,sharanagouda,sharanagouda young
519,,,,,
520,bjp4india namo,insulting bjp4india,,,
521,of modi,modi,,,
522,betrayed ap,government gobackmodi,,,
523,betrayed modi,narendramodi naidu,,,
524,congress room,she bodied,,,
525,,,,,
526,liarrahul claimed,liarrahulâ lies,fact liarrahulâ,,
527,southindiafornamo is,indians southindiafornamo,gobackmodi is,southindiafornamo,cheated andhra
528,limit amendment,,,,
529,,,,,
530,karnataka protests,,,,
531,scam pic,agustawestland scam,,,
532,gobackmodi is,gobackmodi,tnwelcomesmodi,,
533,parliament summons,summons,,,
534,mumbai blast,,,,
535,bjp dosti,ycp bjp,drama gobackmodi,,
536,now bjp,bjp is,bjp can,bjp,
537,satyajit biswas,biswas mla,,,
538,we andhra,andhra,bjp turn,andhra people,
539,modi trend,,,,
540,gandhi shouting,mrsgandhi gobackmodi,gandhi,the gandhi,rahul gandhi
541,youths modi,,,,
542,,,,,
543,mukt bharat,congress mukt,said congress,gandhi desire,modi said
544,caravan intercepted,,,,
545,,,,,
546,modi loses,,,,
547,gurugram bjp,,,,
548,deadline lawmakers,government shutdown,,,
549,rafale scam,rafalescam investigation,,,
550,karnataka greed,speaker bjp,bjp offers,crores to,of crores
551,bjp4india as,bjp4india,bjp is,like bjp4india,bjp
552,in bjp,bjp,bjp on,madhukishwar she,nsitharaman who
553,mumbai attacks,blamed rss,,,
554,khashoggi killing,on khashoggi,pompeo updated,khashoggi,updated congress
555,didi plan,,,,
556,,,,,
557,,,,,
558,,,,,
559,,,,,
560,assam accord,the assam,assam,,
561,,,,,
562,,,,,
563,modi government,the modi,modi,,
564,,,,,
565,,,,,
566,rahul gandhi,gandhi,gandhi is,pseudologia fantastica,mythomania falsification
567,modi spent,spent indian,mr modi,indian money,indian pm
568,raise slogan,vote newgurugram,slogan no,slogan,bjpmission2019 narendramodi
569,bjp4india broke,doors bjp4india,apdharmaporatam modimukthbharath,bjp4india,gyaan session
570,quitting alliance,bjp ally,joining mayawati,alliance joining,
571,modi hugged,,,,
572,of visakhapatnam,visakhapatnam as,visakhapatnam,railway zone,
573,,,,,
574,mocks arunachal,arunachal pradesh,arunachal,pradesh culture,national heraldâ
575,of visakhapatnam,visakhapatnam as,visakhapatnam,apdharmaporatam chandrababunaidu,ap bjp
576,,,,,
577,,,,,
578,wall talks,border wall,talks stall,,
579,,,,,
580,modi chandrababu,bhagwan modi,naidu modi,chandrababu naidu,hai modi
581,rahulkabaapchorhai pappu,,,,
582,citizen bjp,rule india,,,
583,elected pm,modi was,corruption clause,œanti corruption,
584,should priyankagandhi,priyankagandhi fight,varanasi panelists,,
585,vote aap,defeat bjp,bjp,,
586,chorchowkidar modi,anil ambani,ambani to,,
587,insults modi,modi hurled,,,
588,priyanka vadra,vadra,narendra modi,accompanies priyanka,
589,rafale is,rafale,biggest scam,kerala congress,
590,frauds hindus,of kerala,kerala,kerala lands,hindus
591,narendra modi,singh attacked,,,
592,,,,,
593,spokesperson bjp,bjp naidustagesplurge,,,
594,ilhan omar,,,,
595,invite bjp,bjp part,bjp,,
596,,,,,
597,bjp cagrafalereport,spokesperson bjp,bjp,attacking substantive,
598,buzzpatterson enemy,,,,
599,ilhan omar,about jews,,,
600,,,,,
601,bribe mlaâ,,,,
602,bjp mahapurush,corruption mukt,mahapurush gave,gave corruption,bjp
603,modi signing,priyankauproadshow modi,,,
604,pradesh gobackmodi,,,,
605,gobackmodi atrocities,protest gobackmodi2,,,
606,rahul,rahul wants,what rahul,,
607,modi incompetence,indian economy,economy wrecked,,
608,bjp called,attitude bjp,bjp,,
609,,,,,
610,modi has,of modi,oppositioncrooks modi,modi,
611,namoyuva volunteer,become namoyuva,namoyuva,modi mission,
612,weak congress,,,,
613,bjp should,and bjp,kerala they,,
614,bjp leaders,rahulgandhi politics,so bjp,bjp,
615,incindia looted,abhishek singhvi,,,
616,colombian pueblos,,,,
617,,,,,
618,,,,,
619,mahadhagbandhan can,,,,
620,pandit deendayalupadhyaya,deendayalupadhyaya on,bjp ideologue,ideologue pandit,deendayalupadhyaya
621,hate modi,modi,,,
622,priyanka gandhi,,,,
623,rafale be,to rafale,rafale,,
624,modiâ bjp,bjp,bjp is,modiâ,
625,coveted bharatratna,bharatratna is,bharatratna,,
626,jewish members,,,,
627,is corruptâ,looted india,corruptâ,,
628,climate crisis,,,,
629,rafale harming,rafale,,,
630,bjp mr,against arvindkejriwal,bjp4delhi rohit_chahal,arvindkejriwal,arvindkejriwal for
631,nayiumeednayadesh,fake chowkidar,nayiumeednayadesh because,india want,priyankagandhi bjp_à
632,modi had,,,,
633,constitutional body,single constitutional,,,
